Group_Type,City,Avg_Restaurant_Count,Total_Restaurant_Count,Locality_Count,Locality,City_Count
Locality,,1.0,1,,Caddebostan,1.0
Locality,,1.0,1,,Calangute,1.0
Locality,,1.0,1,,"Calangute Beach, Calangute",1.0
Locality,,3.0,3,,Calhoun,1.0
Locality,,1.0,1,,Camac Street Area,1.0
Locality,,2.0,2,,Candolim,1.0
Locality,,1.0,1,,"Cantonment Road, Outram",1.0
Locality,,1.0,1,,"Caravan Complex, Al Hilal",1.0
Locality,,1.0,1,,Cavelossim,1.0
Locality,,1.0,1,,"Cavendish Square, Claremont",1.0
Locality,,13.0,13,,Cedar Falls,1.0
Locality,,8.0,8,,Cedar Rapids,1.0
Locality,,1.0,1,,Cengkareng,1.0
Locality,,1.0,1,,"Centaur Hotel, Aerocity",1.0
Locality,,1.0,1,,"Central Arcade, DLF Phase 2, Gurgaon",1.0
Locality,,10.0,10,,"Central Plaza Mall, Golf Course Road",1.0
Locality,,4.0,4,,"Centre Stage Mall, Sector 18",1.0
Locality,,1.0,1,,Centro,1.0
Locality,,1.0,1,,"Century City Mall, Poblacion, Makati City",1.0
Locality,,3.0,3,,Chamrajpura,1.0
Locality,,32.0,32,,Chanakyapuri,1.0
Locality,,7.0,7,,Chander Nagar,1.0
Locality,,1.0,1,,Chandigarh Industrial Area,1.0
Locality,,2.0,2,,Chandmari,1.0
Locality,,67.0,67,,Chandni Chowk,1.0
Locality,,4.0,4,,Chandrasekharpur,1.0
Locality,,1.0,1,,"Charlotte Street, Fitzrovia",1.0
Locality,,6.0,6,,Charmwood Village,1.0
Locality,,1.0,1,,Chatham-Kent,1.0
Locality,,1.0,1,,Chatsworth,1.0
Locality,,12.0,12,,Chawri Bazar,1.0
Locality,,2.0,2,,Cheetham Hill,1.0
Locality,,1.0,1,,Chelsea,1.0
Locality,,1.0,1,,Chhatarpur,1.0
Locality,,1.0,1,,Chicalthana,1.0
Locality,,1.0,1,,"Chinatown, Outram",1.0
Locality,,46.0,46,,Chittaranjan Park,1.0
Locality,,1.0,1,,Chittoor Road,1.0
Locality,,1.0,1,,"Chokhi Dhani Village Resort, Tonk Road",1.0
Locality,,4.0,4,,Christian Basti,1.0
Locality,,1.0,1,,Chubbuck,1.0
Locality,,2.0,2,,Chukkuwala,1.0
Locality,,1.0,1,,Church Street District,1.0
Locality,,4.0,4,,"Cinnamon Gardens, Colombo 07",1.0
Locality,,1.0,1,,"City Center, Parijat Nagar",1.0
Locality,,2.0,2,,City Centre,1.0
Locality,,1.0,1,,"City Centre Mall, Rohini",1.0
Locality,,1.0,1,,"City Hall, Downtown Core",1.0
Locality,,3.0,3,,City Light,1.0
Locality,,3.0,3,,"City Square Mall, Rajouri Garden",1.0
Locality,,1.0,1,,City and Suburban,1.0
Locality,,7.0,42,,Civil Lines,6.0
Locality,,1.0,1,,Claremont,1.0
Locality,,1.0,1,,Clarkesville,1.0
Locality,,1.0,1,,Clatskanie,1.0
Locality,,1.0,1,,Clearwater,1.0
Locality,,2.0,2,,Clive,1.0
Locality,,1.0,1,,Cochrane,1.0
Locality,,8.0,8,,College Road,1.0
Locality,,1.0,1,,Colmore Business District,1.0
Locality,,19.0,19,,Columbus,1.0
Locality,,18.0,18,,"Community Centre, New Friends Colony",1.0
Locality,,1.0,1,,"Conduit Street, Mayfair",1.0
Locality,,122.0,122,,Connaught Place,1.0
Locality,,2.0,2,,Consolaï¿½_ï¿½ï¿½o,1.0
Locality,,1.0,1,,Consort,1.0
Locality,,3.0,3,,Copacabana,1.0
Locality,,2.0,2,,Coralville,1.0
Locality,,1.0,1,,"Country Inn & Suites By Carlson, Udyog Vihar",1.0
Locality,,1.0,1,,"Country Inn & Suites by Carlson, Gurgaon",1.0
Locality,,2.0,2,,"Country Inn & Suites by Carlson, Sector 12",1.0
Locality,,1.0,1,,"Country Inn & Suites, Sohna Road",1.0
Locality,,1.0,1,,"Courtyard By Marriott, Satellite",1.0
Locality,,1.0,1,,"Courtyard by Marriott Agra, Tajganj",1.0
Locality,,2.0,2,,"Courtyard by Marriott, Sushant Lok",1.0
Locality,,1.0,1,,Covent Garden,1.0
Locality,,4.0,4,,"Crescent Square Mall, Rohini",1.0
Locality,,8.0,8,,"Cross Point Mall, DLF Phase 4",1.0
Locality,,5.0,5,,"Cross River Mall, Karkardooma",1.0
Locality,,12.0,12,,"Crown Interiorz Mall, Sector 35, Faridabad",1.0
Locality,,4.0,4,,"Crown Plaza Mall, Sector 15, Faridabad",1.0
Locality,,1.0,1,,"Crowne Plaza Abu Dhabi, Al Markaziya",1.0
Locality,,2.0,2,,"Crowne Plaza Hotel, Rohini",1.0
Locality,,2.0,2,,"Crowne Plaza, Mayur Vihar Phase 1",1.0
Locality,,2.0,2,,"Crowne Plaza, Sector 29",1.0
Locality,,1.0,1,,"Cyber Greens, DLF Cyber City",1.0
Locality,,41.0,41,,"Cyber Hub, DLF Cyber City",1.0
Locality,,5.0,5,,"D Mall, Netaji Subhash Place",1.0
Locality,,1.0,1,,"D'arblay Street, Soho",1.0
Locality,,3.0,3,,"DB City, Maharana Pratap Nagar",1.0
Locality,,2.0,2,,"DDA Market, Kalu Sarai, Hauz Khas",1.0
Locality,,1.0,1,,DIFC,1.0
Locality,,5.0,5,,"DLF City Centre Mall, Shalimar Bagh",1.0
Locality,,5.0,5,,DLF Cyber City,1.0
Locality,,2.0,2,,"DLF Emporio Mall, Vasant Kunj",1.0
Locality,,17.0,17,,"DLF Galleria, DLF Phase 4",1.0
Locality,,31.0,31,,"DLF Mall of India, Sector 18,  Noida",1.0
Locality,,15.0,15,,"DLF Mega Mall, DLF Phase 1",1.0
Locality,,27.0,27,,DLF Phase 1,1.0
Locality,,10.0,10,,DLF Phase 2,1.0
Locality,,69.0,69,,DLF Phase 3,1.0
Locality,,21.0,21,,DLF Phase 4,1.0
Locality,,4.0,4,,DLF Phase 5,1.0
Locality,,12.0,12,,"DLF Place Mall, Saket",1.0
Locality,,13.0,13,,"DLF Promenade Mall, Vasant Kunj",1.0
Locality,,15.0,15,,"DLF South Point Mall, Golf Course Road",1.0
Locality,,7.0,7,,"DLF South Square, Sarojini Nagar",1.0
Locality,,2.0,2,,"DLF Star Mall, Sector 30",1.0
Locality,,7.0,7,,"DT City Centre Mall, MG Road",1.0
Locality,,5.0,5,,"DT Mega Mall, DLF Phase 1",1.0
Locality,,1.0,1,,Dago,1.0
Locality,,5.0,5,,Dahlonega,1.0
Locality,,1.0,1,,"Dalma Mall, Mussafah Sanaiya",1.0
Locality,,8.0,8,,Dalton,1.0
Locality,,43.0,43,,Daryaganj,1.0
Locality,,3.0,3,,Dashaswmedh Road,1.0
Locality,,15.0,15,,Davenport,1.0
Locality,,1.0,1,,Dayal Bagh,1.0
Locality,,1.0,1,,De Waterkant,1.0
Locality,,2.0,2,,Deansgate,1.0
Locality,,1.0,1,,Deccan Gymkhana,1.0
Locality,,86.0,86,,Defence Colony,1.0
Locality,,1.0,1,,"Dehiwala, Colombo",1.0
Locality,,1.0,1,,Deira City Centre Area,1.0
Locality,,4.0,4,,Delhi Cantt.,1.0
Locality,,65.0,65,,Delhi University-GTB Nagar,1.0
Locality,,1.0,1,,"Devraj Niwas, Bani Park",1.0
Locality,,1.0,1,,Dhantoli,1.0
Locality,,3.0,3,,Dharampeth,1.0
Locality,,1.0,1,,Dicky Beach,1.0
Locality,,1.0,1,,Digbeth,1.0
Locality,,1.0,1,,Dikmen,1.0
Locality,,20.0,20,,"Dilli Haat, INA",1.0
Locality,,57.0,57,,Dilshad Garden,1.0
Locality,,1.0,1,,Disney World Area,1.0
Locality,,2.0,2,,Disney: Downtown Disney,1.0
Locality,,1.0,1,,Dispur,1.0
